#surfdensity	eff
42.48682404	0.00602461
40.77582932	0.00600811
50.44746017	0.00511145
71.83850098	0.00598387
107.32701111	0.00832126
111.79120636	0.00863612
80.77460480	0.01001839
53.83745956	0.00820261
59.22500610	0.00679996
57.11797714	0.00719647
49.77881241	0.00798909
45.55205536	0.00799259
45.10824203	0.00693521
42.74576187	0.00777983
47.43022919	0.00789039
56.75460815	0.00609881
73.70647430	0.00698247
101.50261688	0.00865044
47.85154343	0.00888523
49.58265686	0.00854928
48.58726883	0.00889153
48.56473160	0.00841080
45.82466125	0.00793176
42.91212845	0.00880545
44.04124451	0.01086282
48.09781647	0.00973780
51.33065414	0.00832266
60.77404785	0.01017833
52.44939423	0.00919998
65.46051025	0.00767149
68.48120117	0.00706222
54.92536926	0.00873850
49.39361191	0.00943902
45.02808762	0.01003728
42.48083496	0.01030854
42.50749588	0.01440166
85.46266174	0.00703217
89.92442322	0.00660999
76.59378052	0.00816819
61.37812805	0.00940910
53.62498093	0.00818778
41.38322067	0.00926139
97.58846283	0.00785702
84.14699554	0.00909082
64.14190674	0.01072474
56.83853531	0.00901605
47.95359421	0.00825960
82.81272125	0.01325637
62.78001404	0.01329000
50.86499786	0.01156988
63.17459106	0.02242525
54.07094574	0.01857745
44.55953598	0.02075476
67.01006317	0.02039048
60.49943542	0.01504091
48.99822235	0.01439263
58.84384918	0.01447324
48.14028549	0.01242867
45.38698578	0.01093215
44.48313522	0.01157057
45.01457977	0.01248284
45.96252441	0.01016039
51.47853470	0.00851730
45.70643997	0.01156790
42.56023788	0.01321344
49.92801666	0.00961163
51.61063385	0.01120008
41.65947723	0.01673963
44.18712997	0.01624780
38.02917862	0.02404619
38.62992859	0.02583256
36.31939697	0.02942877
40.42028809	0.03146039
33.10189438	0.01225316
30.69787598	0.01018185
31.78670692	0.01097062
33.50213623	0.01075720
31.22945404	0.01054522
29.78328323	0.00976821
28.55168533	0.00974061
29.76029205	0.00967237
28.12925911	0.01060409
30.80056381	0.00934885
33.34608459	0.01030229
30.04174614	0.00986680
30.52225685	0.01020383
32.43634415	0.00819623
30.39485931	0.00858239
37.65637970	0.00839359
700.93103027	0.00387055
545.71813965	0.00308239
225.43209839	0.00445701
43.85398102	0.00892070
33.67358780	0.00850230
36.72404480	0.00862151
34.78163910	0.00838311
33.23316956	0.00703413
41.02827835	0.00703245
556.25402832	0.00401589
919.26055908	0.00351462
823.88635254	0.00298853
641.69677734	0.00281537
314.06085205	0.00416648
48.11623001	0.00725627
39.77703857	0.00692603
43.53656769	0.00790277
38.42306519	0.00660752
37.17894363	0.00692325
969.00793457	0.00370037
948.55902100	0.00340418
867.52478027	0.00321699
714.07775879	0.00320030
273.75729370	0.00444411
43.00122070	0.00646243
43.65888977	0.00668596
46.55965424	0.00881281
50.65455246	0.00683494
42.90397263	0.00628510
75.82511139	0.00723219
854.50988770	0.00447239
971.63006592	0.00383310
963.74694824	0.00371704
919.85461426	0.00357003
760.32684326	0.00377287
104.24425507	0.00548006
37.11741638	0.00750119
41.84822464	0.00815539
50.81483078	0.00597235
42.14446259	0.00650063
900.88287354	0.00444338
963.16833496	0.00410396
980.92590332	0.00393904
954.02954102	0.00392431
405.01614380	0.00466196
35.90446091	0.00845948
33.63434601	0.00966019
47.55038071	0.00833671
40.38489151	0.00624121
41.37674713	0.00680412
849.53808594	0.00474756
946.55694580	0.00418929
973.98529053	0.00413635
670.36804199	0.00445943
51.40893173	0.00789444
32.97930908	0.01019324
36.87557983	0.00821507
36.78443146	0.00671724
39.33212662	0.00726295
53.82809448	0.00784511
34.91506958	0.00739488
36.46780777	0.00688197
39.07026672	0.00778930
49.75847244	0.00886572
40.80986786	0.00921556
33.88099670	0.00994160
36.76061630	0.00683418
42.74172211	0.00654485
45.29492188	0.00750792
45.74844742	0.00766098
44.52720261	0.00862147
42.01661682	0.01017888
38.05738068	0.01022650
49.11081314	0.00797733
49.14133453	0.00777927
47.29738617	0.00820523
43.49114227	0.01143732
157.29820251	0.00646923
132.51103210	0.00800403
199.76359558	0.00308934
194.64517212	0.00343616
171.03672791	0.00364688
129.95433044	0.00362685
83.80280304	0.00387372
197.75114441	0.00255920
206.84260559	0.00254964
197.04893494	0.00292555
151.50006104	0.00309890
96.34937286	0.00325955
79.14176941	0.00398887
190.41166687	0.00204024
192.66622925	0.00227243
157.49432373	0.00286779
113.10868073	0.00386298
125.86791229	0.00443100
135.92405701	0.00468769
164.30451965	0.00248153
165.84439087	0.00222625
144.30419922	0.00280877
130.79521179	0.00460300
177.05014038	0.00556248
185.70169067	0.00530724
149.01138306	0.00495712
147.34747314	0.00366421
148.62519836	0.00289254
135.98023987	0.00331382
116.28425598	0.00480854
179.72517395	0.00615857
195.99621582	0.00610239
152.24040222	0.00527221
99.71482849	0.00559907
136.38954163	0.00533328
139.85453796	0.00319360
135.55931091	0.00353451
109.40077209	0.00467606
136.45043945	0.00584778
191.71052551	0.00596197
163.83634949	0.00532063
105.47098541	0.00532444
141.89439392	0.00322104
137.43418884	0.00292077
117.71083069	0.00371705
158.59587097	0.00439881
411.41040039	0.00386602
530.72027588	0.00339072
394.65750122	0.00340875
171.33834839	0.00515173
156.86163330	0.00390586
151.41194153	0.00267352
132.37046814	0.00283197
152.56979370	0.00361202
470.84088135	0.00330284
822.72772217	0.00288352
874.08441162	0.00255754
594.27685547	0.00276238
201.27647400	0.00556296
155.89793396	0.00288882
142.21170044	0.00265556
